  R(mm),x(-),
  0.0000E+00,  0.4577E+00,
  0.1000E-07,  0.4575E+00,
  0.2000E-07,  0.4574E+00,
  0.3000E-07,  0.4572E+00,
  0.4000E-07,  0.4568E+00,
  0.5000E-07,  0.4564E+00,
  0.6000E-07,  0.4559E+00,
  0.7000E-07,  0.4553E+00,
  0.8000E-07,  0.4546E+00,
  0.9000E-07,  0.4538E+00,
  0.1000E-06,  0.4530E+00,
  0.1100E-06,  0.4520E+00,
  0.1200E-06,  0.4509E+00,
  0.1300E-06,  0.4498E+00,
  0.1400E-06,  0.4485E+00,
  0.1500E-06,  0.4472E+00,
  0.1600E-06,  0.4458E+00,
  0.1700E-06,  0.4443E+00,
  0.1800E-06,  0.4427E+00,
  0.1900E-06,  0.4410E+00,
  0.2000E-06,  0.4392E+00,
  0.2100E-06,  0.4374E+00,
  0.2200E-06,  0.4354E+00,
  0.2300E-06,  0.4334E+00,
  0.2400E-06,  0.4313E+00,
  0.2500E-06,  0.4292E+00,
  0.2600E-06,  0.4269E+00,
  0.2700E-06,  0.4246E+00,
  0.2800E-06,  0.4222E+00,
  0.2900E-06,  0.4197E+00,
  0.3000E-06,  0.4171E+00,
  0.3100E-06,  0.4145E+00,
  0.3200E-06,  0.4118E+00,
  0.3300E-06,  0.4090E+00,
  0.3400E-06,  0.4061E+00,
  0.3500E-06,  0.4032E+00,
  0.3600E-06,  0.4003E+00,
  0.3700E-06,  0.3972E+00,
  0.3800E-06,  0.3941E+00,
  0.3900E-06,  0.3909E+00,
  0.4000E-06,  0.3877E+00,
  0.4100E-06,  0.3844E+00,
  0.4200E-06,  0.3811E+00,
  0.4300E-06,  0.3777E+00,
  0.4400E-06,  0.3742E+00,
  0.4500E-06,  0.3707E+00,
  0.4600E-06,  0.3672E+00,
  0.4700E-06,  0.3636E+00,
  0.4800E-06,  0.3599E+00,
  0.4900E-06,  0.3563E+00,
  0.5000E-06,  0.3525E+00,
  0.5100E-06,  0.3488E+00,
  0.5200E-06,  0.3449E+00,
  0.5300E-06,  0.3411E+00,
  0.5400E-06,  0.3372E+00,
  0.5500E-06,  0.3333E+00,
  0.5600E-06,  0.3294E+00,
  0.5700E-06,  0.3254E+00,
